time,x,y,z
1751971114.56101,-0.008090263,-0.043040535,0.076634117
1751971114.56903,-0.008174594,-0.042988085,0.076825293
1751971114.57698,-0.008179867,-0.042972144,0.076916423
1751971114.58496,-0.008179867,-0.042972144,0.076916423
1751971114.59297,-0.008156004,-0.042989906,0.076844279
1751971114.60099,-0.008116244,-0.043000828,0.076840923
1751971114.60896,-0.008160284,-0.042966531,0.076794417
1751971114.61696,-0.008160284,-0.042966531,0.076794417
1751971114.62494,-0.008193069,-0.042969723,0.076834164
1751971114.63302,-0.00830541,-0.04294751,0.076846758
1751971114.641,-0.00830541,-0.04294751,0.076846758
1751971114.64899,-0.008279792,-0.042951391,0.076879477
1751971114.65697,-0.008289077,-0.042953942,0.076851882
1751971114.665,-0.008289077,-0.042953942,0.076851882
1751971114.67297,-0.008376912,-0.042901404,0.076868039
1751971114.68102,-0.008280749,-0.042922923,0.076873668
1751971114.68896,-0.008331956,-0.042926498,0.076855586
1751971114.69698,-0.008331956,-0.042926498,0.076855586
1751971114.70501,-0.008408107,-0.042917111,0.076865751
1751971114.71302,-0.008355677,-0.042931625,0.076878714
1751971114.72101,-0.008355677,-0.042931625,0.076878714
1751971114.72899,-0.00833474,-0.04293978,0.076864907
1751971114.73699,-0.008370485,-0.042929979,0.07686887
1751971114.74497,-0.008370485,-0.042929979,0.07686887
1751971114.75298,-0.008321352,-0.042916155,0.076872977
1751971114.76106,-0.008317761,-0.04293136,0.076849853
1751971114.76897,-0.008317761,-0.04293136,0.076849853
1751971114.77697,-0.008419732,-0.042916361,0.076851973
1751971114.78503,-0.0085175,-0.042893616,0.076851375
1751971114.793,-0.008475794,-0.042897189,0.076864792
1751971114.80098,-0.008475794,-0.042897189,0.076864792
1751971114.80895,-0.008517335,-0.042898608,0.076817892
1751971114.81695,-0.008548211,-0.042862244,0.076867442
1751971114.825,-0.008548211,-0.042862244,0.076867442
1751971114.83298,-0.008629916,-0.042841619,0.076893033
1751971114.84096,-0.008737229,-0.042816473,0.07687695
